SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
28.0,CT,310184.0,2008,2.0,1570.6,1139.3,289701.3,61514.0,70.7,161.9,212.687,2325.8255,2.98,182.7,0.249,0.082,0.102,0.314,0.119,0.134,5.9175,3545579
49.0,DC,455738.0,2008,2.0,77.9,67.9,116122.6,60529.0,44.1,161.9,212.687,2325.8255,2.98,182.7,0.209,0.111,0.161,0.285,0.115,0.118,5.9175,580236
44.0,DE,272025.0,2008,2.0,1352.8,372.2,65726.9,45923.0,76.2,161.9,212.687,2325.8255,2.98,182.7,0.257,0.09,0.109,0.288,0.121,0.136,5.9175,883874
3.0,FL,234155.0,2008,2.0,4461.2,3981.1,909549.6,43264.0,71.1,161.9,212.687,2325.8255,2.98,182.7,0.233,0.085,0.108,0.281,0.119,0.174,5.9175,18527305
8.0,GA,170904.0,2008,2.0,4888.2,2187.4,484755.7,42027.0,68.2,161.9,212.687,2325.8255,2.98,182.7,0.281,0.091,0.124,0.298,0.106,0.101,5.9175,9504843
39.0,HI,529259.0,2008,2.0,524.2,223.6,77352.4,42839.0,59.1,161.9,212.687,2325.8255,2.98,182.7,0.241,0.096,0.109,0.283,0.12,0.152,5.9175,1332213
29.0,IA,124963.0,2008,2.0,816.4,951.7,163884.0,49431.0,74.0,161.9,212.687,2325.8255,2.98,182.7,0.251,0.097,0.108,0.285,0.118,0.142,5.9175,3016734
38.0,ID,205173.0,2008,2.0,363.5,433.8,63182.4,38633.0,75.0,161.9,212.687,2325.8255,2.98,182.7,0.289,0.096,0.121,0.267,0.112,0.115,5.9175,1534320
4.0,IL,226266.0,2008,2.0,9031.4,4118.3,763659.5,48415.0,68.9,161.9,212.687,2325.8255,2.98,182.7,0.264,0.095,0.123,0.291,0.108,0.12,5.9175,12747038
14.0,IN,122265.0,2008,2.0,2213.6,2205.5,328175.7,43045.0,74.4,161.9,212.687,2325.8255,2.98,182.7,0.264,0.086,0.12,0.291,0.114,0.125,5.9175,6424806
