StateName,year,month,import_of_goods_rel,export_of_goods_rel,gdp_of_goods_rel,Real_PerCap_rel,house_ownership_rel,PPI_Lumber_of_goods_rel,CPI_of_goods_rel,NASDAQ_Index_rel,Fed_Interest_Rate_rel,PPI_ALL_Index_rel,Children 0-18_rel,Adults 19-25_rel,Adults 26-34_rel,Adults 35-54_rel,Adults 55-64_rel,Adults 65+_rel,MORTGAGE_rel,Avg_House_Price_rel
AK,2008,3.0,0.9853044086773968,3.7602674307545367,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,1.0016033556485993
AL,2008,3.0,0.9840213049267642,1.2145164184460795,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9956126270733012
AR,2008,3.0,0.9513122171945702,0.8283261802575107,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,1.0003087064292653
AZ,2008,3.0,1.0369318181818181,1.0228398791540785,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9582709824333117
CA,2008,3.0,0.9908789003534071,1.1265183468800346,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9577836298259708
CO,2008,3.0,0.9520937642239419,1.1247325983215402,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9914307140396036
CT,2008,3.0,0.8588455476753348,1.0877684407096173,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9821034089201622
DC,2008,3.0,1.1155844155844157,0.7099236641221375,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9890374611597947
DE,2008,3.0,0.9112876802096986,0.8215038650737878,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9915347164349314
FL,2008,3.0,1.0626695057716016,1.1493942045123147,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9636412468735837
GA,2008,3.0,1.029521102121146,1.2167184238660083,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9894812864747748
HI,2008,3.0,1.1748417721518987,8.630081300813009,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9952020216285634
IA,2008,3.0,1.1195803311844268,1.0214841722885315,1.0,1.0,1.0,0.9902260232131949,1.0060045057358582,0.9324774709398214,0.6624365482233502,1.038121546961326,1.0,1.0,1.0,1.0,1.0,1.0,1.0368183397012851,0.9992475244354432
